PURCH_ORDER,SUPPLIER_ORIGIN,CURRENCY
B0068282,UK,
B0068284,UK,
B0068280,UK,
B0068283,UK,
B0068285,UK,
B0068286,UK,
B0068287,UK,
B0068288,UK,
B0068289,UK,
B0068290,UK,
B0068291,UK,
B0068292,UK,
B0068293,UK,
B0068294,UK,
B0068295,UK,
B0068296,UK,
B0068297,UK,
B0068298,Germany,EUR
B0068299,Germany,EUR
B0068341,UK,
B0068342,UK,
B0068343,UK,
B0068300,Germany,EUR
B0068301,UK,
B0068302,UK,
B0068303,UK,
B0068304,UK,
B0068305,UK,
B0068306,Germany,EUR
B0068307,Germany,EUR
B0068308,Germany,EUR
B0068309,UK,
B0068310,UK,
B0068313,UK,
B0068314,UK,
B0068315,UK,
B0068316,UK,
B0068317,UK,
B0068318,UK,
B0068319,UK,
B0068320,UK,
B0068321,UK,
B0068322,UK,
B0068323,UK,
B0068324,UK,
B0068325,UK,
B0068326,UK,
B0068327,UK,
B0068328,UK,
B0068329,UK,
B0068330,UK,
B0068331,UK,
B0068332,UK,
B0068333,UK,
B0068334,UK,
B0068335,UK,
B0068336,UK,
B0068337,UK,
B0068338,UK,
B0068339,UK,
B0068340,UK,
B0068344,UK,
B0068345,UK,
B0068346,UK,
B0068347,UK,
B0068348,UK,
B0068349,UK,
B0068350,UK,
B0068351,UK,
B0068352,UK,
B0068353,UK,
B0068354,UK,
B0068355,UK,
B0068356,UK,
B0068357,UK,
B0068358,UK,
B0068360,UK,
B0068361,UK,
B0068362,UK,
B0068363,UK,
B0068364,UK,
B0068365,UK,
B0068366,UK,
B0068367,UK,
B0068368,UK,
B0068369,UK,
B0068370,UK,
B0068371,UK,
B0068372,UK,
B0068373,UK,
B0068374,UK,
B0068375,UK,
B0068376,UK,
B0068377,UK,
B0068378,UK,
B0068380,UK,
B0068381,UK,
B0068382,UK,
B0068383,UK,
B0068384,UK,
B0068385,UK,
B0068386,Sweden,SEK
B0068387,Sweden,SEK
B0068388,UK,
B0068389,UK,
B0068390,UK,
B0068391,UK,
B0068392,UK,
B0068393,UK,
B0068394,UK,
B0068395,UK,
B0068396,UK,
B0068397,UK,
B0068398,UK,
B0068399,UK,
B0068400,UK,
B0068401,UK,
B0068402,Germany,EUR
B0068404,Germany,EUR
B0068405,Germany,EUR
B0068407,Germany,EUR
B0068408,Germany,EUR
B0068409,UK,
B0068406,Germany,EUR
B0068410,UK,
B0068411,UK,
B0068412,UK,
B0068413,UK,
B0068414,UK,
B0068415,UK,
B0068416,UK,
B0068417,Germany,EUR
B0068418,Germany,EUR
B0068419,Germany,EUR
B0068420,Germany,EUR
B0068421,Germany,EUR
B0068422,UK,
B0068423,UK,
B0068424,UK,
B0068425,UK,
B0068455,UK,
B0068456,UK,
B0068426,UK,
B0068427,UK,
B0068428,UK,
B0068429,UK,
B0068430,UK,
B0068431,UK,
B0068432,UK,
B0068433,UK,
B0068434,UK,
B0068435,UK,
B0068436,UK,
B0068444,UK,
B0068445,UK,
B0068446,UK,
B0068447,UK,
B0068448,UK,
B0068449,UK,
B0068450,UK,
B0068453,UK,
B0068454,UK,
B0068451,UK,
B0068452,UK,
B0068457,UK,
B0068458,UK,
B0068459,UK,
B0068462,UK,
B0068470,UK,
B0068471,UK,
B0068472,UK,
B0068473,UK,
B0068474,UK,
B0068475,UK,
B0068478,UK,
B0068479,UK,
B0068480,UK,
B0068573,Germany,EUR
B0068574,Germany,EUR
B0068583,UK,
B0068481,UK,
B0068482,UK,
B0068483,UK,
B0068484,UK,
B0068485,UK,
B0068486,UK,
B0068487,UK,
B0068488,UK,
B0068489,UK,
B0068490,Germany,EUR
B0068491,Germany,EUR
B0068492,Germany,EUR
B0068493,UK,
B0068495,UK,
B0068496,UK,
B0068514,UK,
B0068515,UK,
B0068516,UK,
B0068497,UK,
B0068498,UK,
B0068499,UK,
B0068500,UK,
B0068501,UK,
B0068502,UK,
B0068503,UK,
B0068504,UK,
B0068505,UK,
B0068506,UK,
B0068507,UK,
B0068512,UK,
B0068513,UK,
B0068520,UK,
B0068521,UK,
B0068568,UK,
B0068569,UK,
B0068570,UK,
B0068522,UK,
B0068523,UK,
B0068524,UK,
B0068525,UK,
B0068526,UK,
B0068527,UK,
B0068528,UK,
B0068529,UK,
B0068530,UK,
B0068531,UK,
B0068532,UK,
B0068533,UK,
B0068542,UK,
B0068543,UK,
B0068546,UK,
B0068562,UK,
B0068563,UK,
B0068564,UK,
B0068547,UK,
B0068575,UK,
B0068576,UK,
B0068577,UK,
B0068578,UK,
B0068579,UK,
B0068580,UK,
B0068581,UK,
B0068582,UK,
B0068584,UK,
B0068585,UK,
B0068601,UK,
B0068602,UK,
B0068603,UK,
B0068604,UK,
B0068605,UK,
B0068606,UK,
B0068634,UK,
B0068607,UK,
B0068609,UK,
B0068611,UK,
B0068613,UK,
B0068614,UK,
B0068615,UK,
B0068616,UK,
B0068617,UK,
B0068618,UK,
B0068620,UK,
B0068621,UK,
B0068623,UK,
B0068624,UK,
B0068625,UK,
B0068627,UK,
B0068628,UK,
B0068629,UK,
B0068630,UK,
B0068632,UK,
B0068633,UK,
B0068635,UK,
B0068636,UK,
B0068637,UK,
B0068638,UK,
B0068639,UK,
B0068640,UK,
B0068641,UK,
B0068642,UK,
B0068643,UK,
B0068644,UK,
B0068645,UK,
B0068646,UK,
B0068647,UK,
B0068648,UK,
B0068649,UK,
B0068650,UK,
B0068685,UK,
B0068695,UK,
B0068696,UK,
B0068697,UK,
B0068686,UK,
B0068688,UK,
B0068690,UK,
B0068691,UK,
B0068692,UK,
B0068693,UK,
B0068694,UK,
B0068698,UK,
B0068699,UK,
B0068700,UK,
B0068701,UK,
B0068702,UK,
B0068703,UK,
B0068704,UK,
B0068705,UK,
B0068706,Germany,EUR
B0068707,UK,
B0068741,UK,
B0068708,UK,
B0068709,Germany,EUR
B0068710,Germany,EUR
B0068711,Germany,EUR
B0068712,Germany,EUR
B0068713,UK,
B0068714,UK,
B0068716,Germany,EUR
B0068717,Germany,EUR
B0068718,Germany,EUR
B0068719,Germany,EUR
B0068720,Germany,EUR
B0068721,Germany,EUR
B0068722,Germany,EUR
B0068723,Germany,EUR
B0068736,UK,
B0068737,UK,
B0068740,UK,
B0068724,Germany,EUR
B0068725,Germany,EUR
B0068726,Germany,EUR
B0068727,UK,
B0068728,UK,
B0068729,UK,
B0068730,UK,
B0068731,UK,
B0068732,UK,
B0068733,UK,
B0068734,UK,
B0068735,UK,
B0068738,UK,
B0068739,UK,
B0068742,UK,
B0068743,UK,
B0068797,Germany,EUR
B0068798,Germany,EUR
B0068799,Germany,EUR
B0068744,UK,
B0068745,UK,
B0068746,UK,
B0068747,UK,
B0068748,UK,
B0068749,UK,
B0068753,UK,
B0068754,UK,
B0068761,UK,
B0068762,UK,
B0068763,Germany,EUR
B0068764,Germany,EUR
B0068765,UK,
B0068766,UK,
B0068767,UK,
B0068768,UK,
B0068773,UK,
B0068774,UK,
B0068776,UK,
B0068769,UK,
B0068775,UK,
B0068777,UK,
B0068778,UK,
B0068779,UK,
B0068780,UK,
B0068781,UK,
B0068782,UK,
B0068783,UK,
B0068784,UK,
B0068785,UK,
B0068788,Germany,EUR
B0068789,Germany,EUR
B0068790,Germany,EUR
B0068791,Germany,EUR
B0068792,Germany,EUR
B0068793,Germany,EUR
B0068794,Germany,EUR
B0068795,Germany,EUR
B0068796,Germany,EUR
B0068800,Germany,EUR
B0068801,Germany,EUR
B0068802,Germany,EUR
B0068803,Germany,EUR
B0068804,Germany,EUR
B0068805,UK,
B0068806,USA,USD
B0068807,Japan,JPY
B0068809,UK,
B0068810,UK,
B0068811,UK,
B0068812,UK,
B0068813,UK,
B0068814,UK,
B0068815,UK,
B0068816,UK,
B0068817,UK,
B0068818,UK,
B0068819,UK,
B0068822,UK,
B0068820,UK,
B0068821,UK,
B0068823,UK,
B0068824,UK,
B0068825,Germany,EUR
B0068826,Germany,EUR
B0068827,Germany,EUR
B0068828,Germany,EUR
B0068829,UK,
B0068835,Germany,EUR
B0068836,Germany,EUR
B0068838,UK,
B0068839,Germany,EUR
B0068883,UK,
B0068884,UK,
B0068885,UK,
B0068927,UK,
B0068928,UK,
B0068932,UK,
B0068886,Germany,EUR
B0068887,Germany,EUR
B0068888,UK,
B0068889,UK,
B0068890,UK,
B0068891,UK,
B0068892,UK,
B0068893,UK,
B0068894,UK,
B0068895,UK,
B0068896,UK,
B0068897,UK,
B0068898,UK,
B0068899,UK,
B0068900,UK,
B0068901,UK,
B0068903,UK,
B0068919,UK,
B0068920,UK,
B0068926,UK,
B0068904,UK,
B0068905,UK,
B0068906,UK,
B0068907,UK,
B0068908,UK,
B0068909,UK,
B0068910,UK,
B0068911,UK,
B0068912,UK,
B0068913,UK,
B0068914,UK,
B0068915,UK,
B0068916,UK,
B0068917,UK,
B0068918,UK,
B0068921,UK,
B0068933,Germany,EUR
B0068934,UK,
B0069036,Germany,EUR
B0068922,UK,
B0068923,UK,
B0068924,UK,
B0068925,UK,
B0068929,UK,
B0068935,Sweden,SEK
B0068936,Sweden,SEK
B0068937,Sweden,SEK
B0068938,Sweden,SEK
B0068939,Sweden,SEK
B0068941,Sweden,SEK
B0068942,Sweden,SEK
B0068943,Sweden,SEK
B0068944,Sweden,SEK
B0068945,Sweden,SEK
B0069037,UK,
B0069042,,ZAR
B0069047,UK,
B0068946,Sweden,SEK
B0068947,Sweden,SEK
B0068948,Sweden,SEK
B0068949,Sweden,SEK
B0068950,Sweden,SEK
B0068951,Sweden,SEK
B0068952,Sweden,SEK
B0068953,Sweden,SEK
B0068954,Sweden,SEK
B0068955,Sweden,SEK
B0068957,UK,
B0068958,UK,
B0068960,Germany,EUR
B0068961,UK,
B0068962,Germany,EUR
B0068966,UK,
B0068970,Germany,EUR
B0068971,Germany,EUR
B0068963,Germany,EUR
B0068967,Germany,EUR
B0068968,Germany,EUR
B0068969,Germany,EUR
B0068973,Germany,EUR
B0068974,Germany,EUR
B0068977,UK,
B0068978,UK,
B0068979,UK,
B0068980,Germany,EUR
B0068981,UK,
B0068982,UK,
B0068983,UK,
B0068984,UK,
B0068986,UK,
B0068987,UK,
B0069031,Germany,EUR
B0069034,Germany,EUR
B0069035,UK,
B0068988,UK,
B0068989,UK,
B0068990,UK,
B0068991,UK,
B0068992,UK,
B0068993,UK,
B0068994,UK,
B0068995,UK,
B0068996,UK,
B0068997,UK,
B0068998,UK,
B0068999,UK,
B0069000,UK,
B0069001,UK,
B0069002,UK,
B0069003,UK,
B0069021,UK,
B0069022,UK,
B0069030,Germany,EUR
B0069004,UK,
B0069005,UK,
B0069006,UK,
B0069007,UK,
B0069008,UK,
B0069009,UK,
B0069010,UK,
B0069011,UK,
B0069012,UK,
B0069013,UK,
B0069014,UK,
B0069015,UK,
B0069016,UK,
B0069017,UK,
B0069018,UK,
B0069019,UK,
B0069048,UK,
B0069049,UK,
B0069050,UK,
B0069020,UK,
B0069023,UK,
B0069024,UK,
B0069025,UK,
B0069026,UK,
B0069038,Germany,EUR
B0069039,Germany,EUR
B0069040,Germany,EUR
B0069041,Germany,EUR
B0069044,UK,
B0069045,UK,
B0069051,UK,
B0069052,UK,
B0069053,UK,
B0069054,UK,
B0069055,UK,
B0069056,UK,
B0069094,UK,
B0069057,UK,
B0069058,UK,
B0069059,UK,
B0069060,UK,
B0069061,UK,
B0069062,UK,
B0069063,UK,
B0069064,UK,
B0069065,UK,
B0069066,UK,
B0069067,Germany,EUR
B0069068,Germany,EUR
B0069069,Germany,EUR
B0069070,Germany,EUR
B0069071,Germany,EUR
B0069077,USA,USD
B0069078,USA,USD
B0069079,USA,USD
B0069072,Germany,EUR
B0069073,Germany,EUR
B0069074,Germany,EUR
B0069075,Germany,EUR
B0069076,Germany,EUR
B0069080,USA,USD
B0069081,USA,USD
B0069082,USA,USD
B0069083,USA,USD
B0069084,USA,USD
B0069085,USA,USD
B0069086,USA,USD
B0069087,USA,USD
B0069088,USA,USD
B0069089,USA,USD
B0069090,UK,
B0069092,UK,
B0069093,UK,
B0069095,UK,
B0069097,UK,
B0069098,UK,
B0069100,UK,
B0069101,UK,
B0069102,UK,
B0069103,UK,
B0069104,Germany,EUR
B0069105,Germany,EUR
B0069106,Germany,EUR
B0069107,UK,
B0069108,UK,
B0069109,UK,
B0069110,USA,USD
B0069111,UK,
B0069112,Germany,EUR
B0069113,UK,
B0069115,UK,
B0069122,UK,
B0069123,UK,
B0069121,UK,
B0069124,UK,
B0069125,Germany,EUR
B0069128,Germany,EUR
B0069129,Germany,EUR
B0069130,Germany,EUR
B0069131,Germany,EUR
B0069132,Germany,EUR
B0069133,Germany,EUR
B0069136,Germany,EUR
B0069137,Germany,EUR
B0069138,Germany,EUR
B0069139,Germany,EUR
B0069140,Germany,EUR
B0069141,Germany,EUR
B0069143,Germany,EUR
B0069144,Germany,EUR
B0069145,Germany,EUR
B0069146,Germany,EUR
B0069147,Germany,EUR
B0069148,Germany,EUR
B0069149,UK,
B0069150,UK,
B0069151,UK,
B0069153,UK,
B0069154,UK,
B0069155,UK,
B0069156,UK,
B0069157,UK,
B0069158,UK,
B0069159,UK,
B0069162,UK,
B0069163,UK,
B0069165,UK,
B0069166,UK,
B0069167,UK,
B0069168,UK,
B0069169,UK,
B0069170,UK,
B0069171,UK,
B0069172,UK,
B0069173,UK,
B0069174,UK,
B0069175,UK,
B0069176,UK,
B0069177,UK,
B0069178,UK,
B0069179,UK,
B0069180,UK,
B0069181,UK,
B0069182,UK,
B0069185,UK,
B0069186,UK,
B0069187,UK,
B0069188,UK,
B0069189,UK,
B0069190,UK,
B0069191,UK,
B0069192,UK,
B0069193,UK,
B0069194,UK,
B0069195,UK,
B0069196,UK,
B0069197,UK,
B0069200,UK,
B0069201,UK,
B0069202,UK,
B0069203,UK,
B0069204,UK,
B0069205,UK,
B0069207,UK,
B0069208,UK,
B0069209,UK,
B0069210,UK,
B0069211,UK,
B0069212,UK,
B0069213,UK,
B0069215,UK,
B0069218,UK,
B0069219,UK,
B0069220,UK,
B0069221,UK,
B0069222,UK,
B0069223,UK,
B0069225,UK,
B0069228,UK,
B0069230,UK,
B0069231,UK,
B0069232,UK,
B0069233,UK,
B0069234,UK,
B0069235,UK,
B0069236,UK,
B0069238,UK,
B0069239,UK,
B0069240,UK,
B0069241,UK,
B0069242,UK,
B0069243,UK,
B0069244,UK,
B0069245,UK,
B0069248,UK,
B0069250,UK,
B0069251,UK,
B0069252,UK,
B0069254,UK,
B0069255,UK,
B0069257,UK,
B0069258,UK,
B0069259,UK,
B0069260,UK,
B0069261,UK,
B0069262,UK,
B0069264,UK,
B0069267,UK,
B0069268,UK,
B0069269,UK,
B0069270,UK,
B0069272,UK,
B0069275,UK,
B0069276,UK,
B0069277,UK,
B0069278,UK,
B0069279,UK,
B0069280,UK,
B0069281,UK,
B0069282,UK,
B0069284,Germany,EUR
B0069285,UK,
B0069286,UK,
B0069287,UK,
B0069288,UK,
B0069289,UK,
B0069290,UK,
B0069291,UK,
B0069292,UK,
B0069293,UK,
B0069294,UK,
B0069295,UK,
B0069296,UK,
B0069297,UK,
B0069303,UK,
B0069309,USA,USD
B0069310,USA,USD
B0069298,UK,
B0069304,UK,
B0069305,UK,
B0069306,UK,
B0069307,UK,
B0069308,UK,
B0069311,USA,USD
B0069312,Germany,EUR
B0069313,Germany,EUR
B0069314,Germany,EUR
B0069315,Germany,EUR
B0069316,UK,
B0069317,UK,
B0069318,UK,
B0069447,UK,
B0069448,UK,
B0069450,UK,
B0069319,UK,
B0069320,UK,
B0069323,UK,
B0069329,UK,
B0069330,UK,
B0069332,UK,
B0069333,Germany,EUR
B0069334,Germany,EUR
B0069335,Germany,EUR
B0069336,Germany,EUR
B0069337,UK,
B0069338,UK,
B0069339,UK,
B0069340,UK,
B0069351,UK,
B0069353,UK,
B0069389,UK,
B0069446,UK,
B0069355,Germany,EUR
B0069356,Germany,EUR
B0069357,UK,
B0069358,UK,
B0069384,UK,
B0069385,UK,
B0069386,UK,
B0069387,UK,
B0069403,UK,
B0069404,UK,
B0069405,UK,
B0069406,UK,
B0069408,UK,
B0069412,UK,
B0069451,UK,
B0069453,UK,
B0069455,UK,
B0069413,UK,
B0069431,UK,
B0069437,UK,
B0069443,UK,
B0069444,UK,
B0069445,UK,
B0069454,UK,
B0069456,UK,
B0069458,UK,
B0069459,UK,
B0069460,UK,
B0069461,UK,
B0069462,UK,
B0069464,UK,
B0069465,UK,
B0069466,UK,
B0069467,UK,
B0069468,UK,
B0069469,UK,
B0069470,UK,
B0069472,UK,
B0069473,UK,
B0069474,UK,
B0069475,UK,
B0069476,UK,
B0069477,UK,
B0069478,UK,
B0069479,UK,
B0069481,UK,
B0069482,UK,
B0069483,UK,
B0069484,UK,
B0069485,UK,
B0069486,UK,
B0069487,UK,
B0069493,UK,
B0069494,UK,
B0069495,UK,
B0069496,UK,
B0069497,UK,
B0069499,UK,
B0069500,UK,
B0069501,UK,
B0069502,Germany,EUR
B0069503,Germany,EUR
B0069504,UK,
B0069507,UK,
B0069508,Germany,EUR
B0069509,Germany,EUR
B0069510,Germany,EUR
B0069511,Germany,EUR
B0069513,Germany,EUR
B0069517,UK,
B0069518,Germany,EUR
B0069528,UK,
B0069529,UK,
B0069530,UK,
B0069531,UK,
B0069532,UK,
B0069533,UK,
B0069534,UK,
B0069535,UK,
B0069536,UK,
B0069537,UK,
B0069538,UK,
B0069539,UK,
B0069540,UK,
B0069541,UK,
B0069542,UK,
B0069543,UK,
B0069544,UK,
B0069545,UK,
B0069546,UK,
B0069548,UK,
B0069549,UK,
B0069566,UK,
B0069567,UK,
B0069568,UK,
B0069550,UK,
B0069551,UK,
B0069552,UK,
B0069553,UK,
B0069554,UK,
B0069555,UK,
B0069556,UK,
B0069557,UK,
B0069558,UK,
B0069559,Germany,EUR
B0069560,UK,
B0069561,UK,
B0069562,Germany,EUR
B0069563,Germany,EUR
B0069564,Germany,EUR
B0069569,UK,
B0069570,UK,
B0069571,UK,
B0069565,Germany,EUR
B0069572,UK,
B0069573,UK,
B0069574,UK,
B0069575,UK,
B0069579,UK,
B0069580,UK,
B0069581,Germany,EUR
B0069597,UK,
B0069598,UK,
B0069599,UK,
B0069600,UK,
B0069601,Germany,EUR
B0069602,Germany,EUR
B0069606,Germany,EUR
B0069611,Germany,EUR
B0069620,UK,
B0069621,UK,
B0069622,UK,
B0069623,UK,
B0069625,Germany,EUR
B0069627,Germany,EUR
B0069628,Germany,EUR
B0069629,Germany,EUR
B0069630,Germany,EUR
B0069631,Germany,EUR
B0069632,Germany,EUR
B0069633,Germany,EUR
B0069634,Germany,EUR
B0069635,Germany,EUR
B0069636,Germany,EUR
B0069637,Germany,EUR
B0069638,Germany,EUR
B0069639,Germany,EUR
B0069640,Germany,EUR
B0069641,Germany,EUR
B0069642,Germany,EUR
B0069643,Germany,EUR
B0069644,Germany,EUR
B0069645,Germany,EUR
B0069646,Germany,EUR
B0069647,Germany,EUR
B0069648,Germany,EUR
B0069649,Germany,EUR
B0069650,Germany,EUR
B0069651,Germany,EUR
B0069652,Germany,EUR
B0069653,Germany,EUR
B0069654,Germany,EUR
B0069655,Germany,EUR
B0069656,Germany,EUR
B0069657,Germany,EUR
B0069658,UK,
B0069659,UK,
B0069660,UK,
B0069661,UK,
B0069662,UK,
B0069663,UK,
B0069688,UK,
B0069710,UK,
B0069711,Germany,EUR
B0069664,UK,
B0069665,UK,
B0069666,UK,
B0069667,UK,
B0069668,UK,
B0069669,UK,
B0069670,UK,
B0069671,UK,
B0069672,UK,
B0069673,UK,
B0069674,UK,
B0069675,UK,
B0069676,UK,
B0069677,UK,
B0069678,UK,
B0069712,Germany,EUR
B0069714,Germany,EUR
B0069761,Germany,EUR
B0069679,UK,
B0069680,UK,
B0069681,UK,
B0069682,UK,
B0069683,UK,
B0069684,UK,
B0069685,UK,
B0069686,UK,
B0069687,UK,
B0069689,UK,
B0069690,UK,
B0069691,UK,
B0069695,Germany,EUR
B0069698,Germany,EUR
B0069699,Germany,EUR
B0069762,Germany,EUR
B0069763,UK,
B0069795,UK,
B0069700,Germany,EUR
B0069701,Germany,EUR
B0069702,Germany,EUR
B0069703,Germany,EUR
B0069704,Germany,EUR
B0069705,Germany,EUR
B0069706,Germany,EUR
B0069707,Germany,EUR
B0069708,Germany,EUR
B0069709,Germany,EUR
B0069719,UK,
B0069720,UK,
B0069727,UK,
B0069728,UK,
B0069729,UK,
B0069797,UK,
B0069798,UK,
B0069799,UK,
B0069730,UK,
B0069743,UK,
B0069744,UK,
B0069745,Sweden,SEK
B0069746,UK,
B0069747,UK,
B0069748,UK,
B0069749,UK,
B0069750,UK,
B0069751,UK,
B0069752,UK,
B0069753,UK,
B0069754,UK,
B0069755,UK,
B0069756,UK,
B0069757,UK,
B0069758,UK,
B0069759,UK,
B0069760,Germany,EUR
B0069764,UK,
B0069765,UK,
B0069766,UK,
B0069769,Germany,EUR
B0069772,UK,
B0069773,Germany,EUR
B0069774,Germany,EUR
B0069775,UK,
B0069776,UK,
B0069777,Germany,EUR
B0069779,Germany,EUR
B0069781,Germany,EUR
B0069784,UK,
B0069785,UK,
B0069786,UK,
B0069788,Germany,EUR
B0069789,UK,
B0069790,Germany,EUR
B0069794,UK,
B0069800,UK,
B0069801,UK,
B0069802,UK,
B0069803,UK,
B0069804,UK,
B0069805,UK,
B0069806,UK,
B0069807,UK,
B0069808,UK,
B0069809,UK,
B0069810,UK,
B0069811,UK,
B0069812,UK,
B0069813,UK,
B0069814,UK,
B0069817,UK,
B0069818,UK,
B0069826,UK,
B0069827,UK,
B0069828,UK,
B0069829,UK,
B0069830,UK,
B0069831,UK,
B0069832,UK,
B0069833,UK,
B0069834,UK,
B0069835,UK,
B0069836,UK,
B0069837,UK,
B0069838,UK,
B0069839,UK,
B0069840,UK,
B0069841,UK,
B0069842,UK,
B0069843,UK,
B0069845,USA,USD
B0069867,Japan,JPY
B0069874,UK,
B0069844,UK,
B0069846,Germany,EUR
B0069847,Germany,EUR
B0069848,Germany,EUR
B0069849,Germany,EUR
B0069850,Germany,EUR
B0069851,Germany,EUR
B0069852,Germany,EUR
B0069853,Germany,EUR
B0069856,Germany,EUR
B0069857,Germany,EUR
B0069858,Germany,EUR
B0069859,Germany,EUR
B0069860,Germany,EUR
B0069875,UK,
B0069876,UK,
B0069877,UK,
B0069878,UK,
B0069861,Germany,EUR
B0069863,Germany,EUR
B0069865,Germany,EUR
B0069879,UK,
B0069880,UK,
B0069881,UK,
B0069882,UK,
B0069883,UK,
B0069884,UK,
B0069885,UK,
B0069886,UK,
B0069887,UK,
B0069888,UK,
B0069890,UK,
B0069891,UK,
B0069892,UK,
B0069893,UK,
B0069973,UK,
B0069974,UK,
B0069977,Germany,EUR
B0069894,UK,
B0069895,UK,
B0069898,UK,
B0069899,UK,
B0069900,UK,
B0069901,UK,
B0069902,UK,
B0069903,UK,
B0069908,UK,
B0069909,UK,
B0069910,UK,
B0069914,UK,
B0069916,UK,
B0069917,Germany,EUR
B0069919,UK,
B0069920,Germany,EUR
B0069921,UK,
B0069925,UK,
B0069926,UK,
B0069927,UK,
B0069922,UK,
B0069923,Germany,EUR
B0069924,UK,
B0069928,UK,
B0069929,UK,
B0069930,UK,
B0069931,UK,
B0069932,UK,
B0069933,UK,
B0069934,UK,
B0069935,UK,
B0069936,UK,
B0069937,UK,
B0069938,UK,
B0069939,Germany,EUR
B0069941,UK,
B0069942,UK,
B0069969,UK,
B0069970,UK,
B0069971,UK,
B0069972,UK,
B0069947,Germany,EUR
B0069948,Germany,EUR
B0069949,UK,
B0069950,UK,
B0069951,UK,
B0069952,UK,
B0069953,UK,
B0069954,UK,
B0069955,UK,
B0069956,UK,
B0069957,UK,
B0069958,UK,
B0069959,UK,
B0069960,UK,
B0069961,UK,
B0069966,UK,
B0069967,UK,
B0069968,UK,
B0069962,UK,
B0069963,UK,
B0069964,Germany,EUR
B0069965,UK,
B0069976,Germany,EUR
B0069978,UK,
B0069985,UK,
B0069986,UK,
B0069987,UK,
B0069988,UK,
B0069990,Germany,EUR
B0069991,Germany,EUR
B0069992,Germany,EUR
B0069993,Germany,EUR
B0069994,Germany,EUR
B0070249,UK,
B0070250,UK,
B0070261,UK,
B0069995,Germany,EUR
B0069996,Germany,EUR
B0069997,Germany,EUR
B0069998,Germany,EUR
B0069999,Germany,EUR
B0070000,Germany,EUR
B0070001,Germany,EUR
B0070002,Germany,EUR
B0070003,Germany,EUR
B0070004,Germany,EUR
B0070005,Germany,EUR
B0070006,Germany,EUR
B0070007,UK,
B0070008,UK,
B0070009,UK,
B0070010,UK,
B0070014,UK,
B0070011,UK,
B0070012,UK,
B0070013,UK,
B0070015,UK,
B0070016,UK,
B0070021,UK,
B0070024,UK,
B0070026,UK,
B0070027,UK,
B0070028,UK,
B0070029,UK,
B0070031,UK,
B0070032,UK,
B0070033,UK,
B0070034,UK,
B0070035,Germany,EUR
B0070076,Germany,EUR
B0070077,Germany,EUR
B0070036,Germany,EUR
B0070037,UK,
B0070038,UK,
B0070039,UK,
B0070040,UK,
B0070041,UK,
B0070042,UK,
B0070043,UK,
B0070044,UK,
B0070045,UK,
B0070046,UK,
B0070047,UK,
B0070048,UK,
B0070049,UK,
B0070050,UK,
B0070060,UK,
B0070061,UK,
B0070062,UK,
B0070051,UK,
B0070052,UK,
B0070053,UK,
B0070054,UK,
B0070055,UK,
B0070056,UK,
B0070057,UK,
B0070058,UK,
B0070059,UK,
B0070063,Germany,EUR
B0070065,Germany,EUR
B0070078,Germany,EUR
B0070079,UK,
B0070080,UK,
B0070081,UK,
B0070241,UK,
B0070242,UK,
B0070247,UK,
B0070082,UK,
B0070084,UK,
B0070085,UK,
B0070086,UK,
B0070087,UK,
B0070088,UK,
B0070089,UK,
B0070090,UK,
B0070091,UK,
B0070092,UK,
B0070093,UK,
B0070094,UK,
B0070095,UK,
B0070096,UK,
B0070097,UK,
B0070120,UK,
B0070123,UK,
B0070124,UK,
B0070098,UK,
B0070099,UK,
B0070100,UK,
B0070101,UK,
B0070102,UK,
B0070103,UK,
B0070104,UK,
B0070105,UK,
B0070106,UK,
B0070107,UK,
B0070108,UK,
B0070109,UK,
B0070111,UK,
B0070112,UK,
B0070113,UK,
B0070207,UK,
B0070209,UK,
B0070211,UK,
B0070114,UK,
B0070115,UK,
B0070116,UK,
B0070117,UK,
B0070125,UK,
B0070126,UK,
B0070127,UK,
B0070128,UK,
B0070129,UK,
B0070130,UK,
B0070131,UK,
B0070132,UK,
B0070133,UK,
B0070134,UK,
B0070135,UK,
B0070262,UK,
B0070263,Sweden,SEK
B0070264,Sweden,SEK
B0070265,Sweden,SEK
B0070136,UK,
B0070137,UK,
B0070138,UK,
B0070139,UK,
B0070140,UK,
B0070141,UK,
B0070142,UK,
B0070144,UK,
B0070145,UK,
B0070146,UK,
B0070147,UK,
B0070148,UK,
B0070149,UK,
B0070150,UK,
B0070151,UK,
B0070203,UK,
B0070205,UK,
B0070206,UK,
B0070152,UK,
B0070153,UK,
B0070154,UK,
B0070155,UK,
B0070156,UK,
B0070157,UK,
B0070158,UK,
B0070159,UK,
B0070160,UK,
B0070161,UK,
B0070162,UK,
B0070163,UK,
B0070164,UK,
B0070165,UK,
B0070166,UK,
B0070266,Sweden,SEK
B0070267,Sweden,SEK
B0070268,Sweden,SEK
B0070167,UK,
B0070168,UK,
B0070169,UK,
B0070170,UK,
B0070171,UK,
B0070172,UK,
B0070173,UK,
B0070174,UK,
B0070175,UK,
B0070176,UK,
B0070177,UK,
B0070178,UK,
B0070179,UK,
B0070180,UK,
B0070182,UK,
B0070269,Sweden,SEK
B0070270,Sweden,SEK
B0070271,Sweden,SEK
B0070183,UK,
B0070184,UK,
B0070185,UK,
B0070186,UK,
B0070187,UK,
B0070188,UK,
