PURCH_ORDER,PART_NO,AREA,ORDER_TYPE,SUPPLIER,COST,CURRENCY,RAISED_DATE,CLOSED_DATE
B0029074,699209,A,B,R8S1A,0.0339,,11/26/02,11/30/10
B0029841,98AG-15052-BD,G,B,T43NA,0.1639,EUR,5/21/03,7/14/10
B0029843,XR83-13K705-BA,G,B,Q80QA,0.8514,EUR,5/21/03,7/14/10
B0029893,WCS000150,G,B,E491A,2.7273,EUR,5/22/03,7/14/11
B0029947,1X43-5K978-AA,G,B,R8S1A,0.342,,5/27/03,11/21/11
B0029950,FS105107P,G,B,R8S1A,0.0306,,5/27/03,11/21/11
B0029953,W500012-S301,G,B,R8S1A,0.0175,,5/27/03,8/19/15
B0029958,W500125-S301,G,B,R8S1A,0.0918,,5/27/03,11/21/11
B0029959,W504699-S309M,G,B,R8S1A,0.0165,,5/27/03,11/21/11
B0029969,W520201-S301,G,B,R8S1A,0.027,,5/27/03,11/21/11
B0029970,W520411-S301,G,B,R8S1A,0.0069,,5/27/03,11/21/11
B0029971,W520414-S301,G,B,R8S1A,0.0304,,5/27/03,11/21/11
B0029973,W525937-S300,G,B,R8S1A,0.1286,,5/27/03,11/30/10
B0029981,W702724-S301,G,B,R8S1A,0.0143,,5/27/03,11/21/11
B0029982,W702733-S900,G,B,R8S1A,0.0418,,5/27/03,11/21/11
B0029999,3M5T-7C534-AB,G,B,U3NFA,1.0173,USD,5/28/03,
B0030000,94BB-9C872-AC,G,B,U3NFA,0.763,USD,5/28/03,
B0030001,BN7N66490,G,B,U3NFA,1.1834,USD,5/28/03,9/23/11
B0030071,4G43-046B30-AB,G,B,DQ1DA,10.0668,EUR,6/2/03,1/20/12
B0029984,W705116-S300,G,B,R8S1A,0.0774,,5/27/03,11/21/11
B0029987,W706422-S427,G,B,R8S1A,0.0178,,5/27/03,11/24/10
B0030023,1X43-17K826-AA,G,B,R8S1A,0.0609,,6/2/03,11/30/10
B0030033,W701073-S301,G,B,R8S1A,0.0605,,6/2/03,11/21/11
B0030072,4G43-046B31-AB,G,B,DQ1DA,10.0668,EUR,6/2/03,1/20/12
B0030075,W520202-S437,G,B,R8S1A,0.0432,,6/2/03,11/24/10
B0030085,2W93-7B147-AC,G,B,Q33YA,0.55,,6/2/03,11/21/11
B0030087,694891,G,B,R8S1A,0.131,,6/2/03,11/30/10
B0030091,699733,G,B,R8S1A,0.0008,,6/2/03,11/30/10
B0030096,C27328/3Z,G,B,R8S1A,0.0168,,6/2/03,11/21/11
B0030104,JFY106041,G,B,R8S1A,0.0265,,6/2/03,11/21/11
B0030106,MJA4243AB,G,B,R8S1A,0.1818,,6/2/03,11/24/10
B0030217,98AG-14A169-AA,G,B,R8S1A,0.0105,,6/6/03,11/30/10
B0030245,W505510-S309,G,B,R8S1A,0.0049,,6/10/03,11/21/11
B0030247,W503511-S307,G,B,R8S1A,0.035,,6/10/03,11/30/10
B0030692,1X43-13N064-AG,G,B,C8B9C,21.3541,EUR,7/2/03,12/23/15
B0030710,1R12-372635-AA,G,B,MRLAA,0.075,,7/2/03,5/25/10
B0030721,W709470-S427,G,B,R8S1A,0.1592,,7/3/03,11/21/11
B0030254,WE112001,G,B,R8S1A,0.0048,,6/10/03,11/21/11
B0030255,WJ112001,G,B,R8S1A,0.0603,,6/10/03,11/21/11
B0030256,W520201-S427,G,B,R8S1A,0.0162,,6/10/03,11/21/11
B0030260,W707777-S300,G,B,R8S1A,0.015,,6/10/03,11/30/10
B0030269,692054,G,B,R8S1A,0.0004,,6/10/03,11/21/11
B0030271,W527206-S307,G,B,R8S1A,0.0695,,6/10/03,11/30/10
B0030283,1X43-5K751-AA,G,B,R8S1A,0.1151,,6/11/03,11/21/11
B0030284,2R83-4B423-AA,G,B,R8S1A,0.625,,6/11/03,11/21/11
B0030288,W500020-S301,G,B,R8S1A,0.0227,,6/11/03,11/21/11
B0030291,W500111-S301,G,B,R8S1A,0.044,,6/11/03,11/21/11
B0030292,W500128-S301,G,B,R8S1A,0.0966,,6/11/03,11/21/11
B0030293,W500204-S309,G,B,R8S1A,0.0095,,6/11/03,11/21/11
B0030296,W505575-S309,G,B,R8S1A,0.0116,,6/11/03,11/21/11
B0030298,W520102-S301,G,B,R8S1A,0.0222,,6/11/03,11/21/11
B0030299,W520115-S301,G,B,R8S1A,0.116,,6/11/03,11/21/11
B0030336,W500024-S427,G,B,R8S1A,0.171,,6/12/03,8/16/15
B0030350,4G43-13B454-AA,G,B,V3NPA,4.486,,6/13/03,11/25/14
B0030352,4G43-15A424-AA,G,B,V3NPA,4.486,,6/13/03,11/25/14
B0030301,W520202-S427,G,B,R8S1A,0.0361,,6/11/03,11/21/11
B0030302,W520412-S301,G,B,R8S1A,0.012,,6/11/03,11/30/10
B0030304,W520413-S301,G,B,R8S1A,0.0128,,6/11/03,8/19/15
B0030305,W520802-S301,G,B,R8S1A,0.0286,,6/11/03,11/21/11
B0030310,W704884-S426,G,B,R8S1A,0.3468,,6/11/03,11/21/11
B0030313,W705298-S427,G,B,R8S1A,0.0161,,6/11/03,11/21/11
B0030314,W705508-S300,G,B,R8S1A,0.12,,6/11/03,11/30/10
B0030315,W705516-S426,G,B,R8S1A,0.2265,,6/11/03,11/21/11
B0030317,W706013-S300,G,B,R8S1A,0.0362,,6/11/03,11/30/10
B0030318,W706108-S301,G,B,R8S1A,0.0497,,6/11/03,11/21/11
B0030319,W706870-S301,G,B,R8S1A,0.03,,6/11/03,11/21/11
B0030322,W708759-S300,G,B,R8S1A,0.157,,6/11/03,11/30/10
B0030324,WJ106005,G,B,R8S1A,0.0057,,6/11/03,11/30/10
B0030325,WJ108001,G,B,R8S1A,0.0269,,6/11/03,11/21/11
B0030335,W500014-S426,G,B,R8S1A,0.0134,,6/12/03,11/21/11
B0032085,4G43-3C662-AB,G,B,D06PG,30.08,,11/4/03,9/14/10
B0032141,98AG-14A390-AHA,G,B,CBMPA,0.09,,11/6/03,
B0032408,4G43-14W163-EA,G,B,CBMPA,0.356,,11/24/03,
B0030337,W505544-S301,G,B,R8S1A,0.04,,6/12/03,11/21/11
B0030338,W520101-S309,G,B,R8S1A,0.0129,,6/12/03,11/21/11
B0030343,W705476-S900,G,B,R8S1A,0.06,,6/12/03,11/24/10
B0030345,WW108001,G,B,R8S1A,0.0072,,6/12/03,11/21/11
B0030424,W705139-S301,G,B,R8S1A,0.0446,,6/19/03,11/21/11
B0030425,W700430-S301,G,B,R8S1A,0.0523,,6/19/03,11/21/11
B0030426,XS4A-A22800-AB,G,B,C8Q8A,1.7284,EUR,6/19/03,4/13/10
B0030427,XS4A-A22801-AB,G,B,C8Q8A,1.7284,EUR,6/19/03,4/13/10
B0030585,FY112057,G,B,R8S1A,0.0698,,6/30/03,11/21/11
B0030587,JXC1061616E/P,G,B,R8S1A,0.0278,,6/30/03,11/21/11
B0030621,4G43-6K375-AA,G,B,D1E4A,7.4928,EUR,7/1/03,12/21/11
B0030726,W500222-S301,G,B,R8S1A,0.0184,,7/3/03,11/21/11
B0030747,97-124683-AA,G,B,R8KHA,0.62,,7/4/03,11/21/11
B0030749,97-124685-AA,G,B,R8KHA,0.62,,7/4/03,11/21/11
B0032409,4G43-14W163-DA,G,B,CBMPA,0.356,,11/24/03,
B0032470,W500105-S301,G,B,R8S1A,0.0371,,11/24/03,11/21/11
B0037548,6G33--19A321--EA,G,B,MQKCA,26.18,,4/21/05,2/7/11
B0037549,6G33--19A321--FA,G,B,MQKCA,26.18,,4/21/05,2/7/11
B0030750,97-90423,G,B,R8KHA,0.34,,7/4/03,11/21/11
B0030751,97-90424,G,B,R8KHA,0.34,,7/4/03,11/21/11
B0030909,W520113-S301,G,B,R8S1A,0.0447,,7/16/03,11/21/11
B0030910,W505512-S309,G,B,R8S1A,0.04,,7/16/03,11/21/11
B0030911,WYH100480,G,B,R8S1A,0.018,,7/16/03,11/21/11
B0030926,W705277-S301,G,B,R8S1A,0.0358,,7/16/03,11/21/11
B0031056,WL106001,G,B,R8S1A,0.0013,,7/28/03,11/21/11
B0031057,4G43-5E281-AA,G,B,C85FB,1.1052,EUR,7/28/03,7/22/10
B0031252,699711,G,B,R8S1A,0.1682,,8/11/03,11/30/10
B0031253,2L1T-14A666-AA,G,B,CBMPA,0.2402,,8/11/03,
B0031265,1X43-15K859-AC,G,B,D25KE,7.1271,EUR,8/11/03,8/16/15
B0031330,F8UF-12B583-AA,G,B,M7997,6.1512,USD,8/20/03,10/27/09
B0031445,E9TP-7N171-AA,G,B,C421A,0.1496,USD,9/1/03,
B0031464,N806769-S301,G,B,R8S1A,0.0201,,9/1/03,11/21/11
B0031473,JFB10807F,G,B,R8S1A,0.044,,9/1/03,11/21/11
B0031479,W709232-S426,G,B,R8S1A,0.0329,,9/2/03,11/21/11
B0031530,RQH100030,G,B,HDK3A,6.9464,EUR,9/5/03,11/25/13
B0031679,3M51-19L523-AA,G,B,CRFVA,34.9237,EUR,9/22/03,11/21/11
B0031694,4G43-19E658-AC,G,B,U9B6A,1.79,,9/24/03,1/28/13
B0031563,FRC6915,G,B,R8S1A,0.0101,,9/10/03,11/21/11
B0031568,1X4X-F06050-AB,G,B,R8S1A,0.974,,9/11/03,11/30/10
B0031570,4G43-43183-AA,G,B,U9CJA,0.32,,9/11/03,11/21/11
B0031572,W500011-S301,G,B,R8S1A,0.0163,,9/11/03,8/19/15
B0031589,700414,G,B,R8S1A,0.2847,,9/12/03,11/21/11
B0031590,4G43-48954-AA,G,B,R8S1A,0.012,,9/12/03,11/30/10
B0031610,FN108041,G,B,R8S1A,0.0092,,9/15/03,11/21/11
B0031612,SE106354,G,B,R8S1A,0.024,,9/15/03,11/30/10
B0031613,W500000-S309,G,B,R8S1A,0.0085,,9/15/03,11/30/10
B0031623,W500014-S307,G,B,R8S1A,0.0161,,9/16/03,11/30/10
B0031635,W525956-S307,G,B,R8S1A,0.0735,,9/17/03,11/30/10
B0031652,W705134-S426,G,B,R8S1A,0.0342,,9/18/03,11/21/11
B0031669,W706133-S426,G,B,R8S1A,0.0328,,9/22/03,11/21/11
B0031681,W500013-S309,G,B,R8S1A,0.0176,,9/22/03,11/21/11
B0031920,6G33--13K031--AA,G,B,V05EA,30.1707,USD,10/22/03,11/21/11
B0031923,4G43-19835-CF,G,B,AGXRA,8.6039,EUR,10/22/03,11/21/11
B0032024,4G43-14N003-CF,G,B,CBMPA,0.848,,10/30/03,11/21/11
B0031682,W500010-S309,G,B,R8S1A,0.0083,,9/22/03,11/21/11
B0031872,W705650-S424,G,B,R8S1A,0.0236,,10/14/03,11/24/10
B0031938,4G43-5A364-AA,G,B,U9CJA,2.95,,10/23/03,12/10/13
B0032047,2W93-F9C070-AB,G,B,ABKCA,8.35,,11/3/03,12/6/11
B0032159,W500023-S301,G,B,R8S1A,0.0192,,11/10/03,11/21/11
B0032160,W500022-S301,G,B,R8S1A,0.0221,,11/10/03,11/21/11
B0032191,WJ108004,G,B,R8S1A,0.0093,,11/10/03,11/30/10
B0032214,JZE100063,G,B,R8S1A,0.0099,,11/12/03,11/21/11
B0032226,4G43-001B40-AA,G,B,S3K0A,13.85,,11/13/03,11/21/11
B0032241,4G43-13K070-AB,G,B,HDK3A,7.9829,EUR,11/14/03,11/25/13
B0032378,4G43-3D677-AA,G,B,DU3RA,5.3742,EUR,11/21/03,11/17/11
B0032379,4G43-3D677-BA,G,B,DU3RA,5.3742,EUR,11/21/03,11/17/11
B0032419,4G43-54237A04-AB,G,B,U8VAA,1.11,,11/24/03,2/9/11
B0032430,W500424-S301,G,B,R8S1A,0.0153,,11/24/03,11/21/11
B0037551,6G33--19A321--GA,G,B,MQKCA,26.18,,4/21/05,2/7/11
B0037552,6G33--19A321--HA,G,B,MQKCA,26.18,,4/21/05,2/7/11
B0037553,6G33--19A321--JA,G,B,MQKCA,26.18,,4/21/05,2/7/11
B0032614,698894,G,B,R8S1A,0.0042,,12/8/03,11/21/11
B0032616,699736,G,B,R8S1A,0.2004,,12/8/03,11/21/11
B0032684,4G43-3975-AA,G,B,R8S1A,0.292,,12/11/03,11/30/10
B0032687,4G43-045L97-AA,G,B,C94RA,0.06,,12/11/03,
B0032723,FS108141,G,B,R8S1A,0.0271,,12/17/03,11/21/11
B0032927,4G43-1007-AB,G,B,AVECA,84.3854,EUR,1/21/04,11/21/11
B0032928,4G43-1007-BB,G,B,AVECA,90.2592,EUR,1/21/04,11/21/11
B0032993,98AG-15052-CB,G,B,T43NA,0.7035,EUR,2/2/04,7/14/10
B0033006,4G43-9C071-AA,G,B,D0DVA,2.3182,EUR,2/4/04,6/17/11
B0033034,4G43-C044W04-BA,G,B,C8C9A,1.24,,2/11/04,8/16/15
B0033035,4G43-C044W04-AA,G,B,C8C9A,1.24,,2/11/04,8/16/15
B0033091,4G43-13A570-AA,G,B,V3NPA,2.099,,2/19/04,12/10/13
B0033092,4G43-13A571-AA,G,B,V3NPA,2.099,,2/19/04,12/10/13
B0033120,4G43-3962-GA,G,B,T193A,0.49,,2/26/04,2/7/13
B0033139,W705113-S301,G,B,R8S1A,0.0475,,2/27/04,11/21/11
B0033204,W500548-S301,G,B,R8S1A,0.2513,,3/9/04,11/21/11
B0033209,4G43-18C951-HB,G,B,CBMPA,1.94,,3/9/04,
B0033389,4G43-023A50-AB,G,B,C8C9A,0.33,,4/8/04,11/21/11
B0033721,4G43-1007-GA,G,B,AVECA,178.2792,EUR,6/10/04,11/21/11
B0033722,4G43-1007-FA,G,B,AVECA,171.3891,EUR,6/10/04,11/21/11
B0033325,W500441-S301,G,B,R8S1A,0.065,,3/30/04,11/21/11
B0033423,4G43-18801-AB,G,B,U9CJA,3.53,,4/21/04,11/21/11
B0033597,1R12-372636-AA,G,B,MRLAA,0.075,,5/17/04,5/25/10
B0033663,6G33--19A705--AB,G,B,AGXRA,7.8632,EUR,5/27/04,10/6/11
B0033664,6G33--19A705--BA,G,B,AGXRA,8.9949,EUR,5/27/04,11/21/11
B0033665,6G33--19A705--CB,G,B,AGXRA,10.8611,EUR,5/27/04,3/9/12
B0033666,6G33--19A705--DB,G,B,AGXRA,4.4612,EUR,5/27/04,3/9/12
B0033667,6G33--19835--BA,G,B,AGXRA,10.2385,EUR,5/27/04,11/21/11
B0034074,4G43-20838-AB,G,B,ECFRA,0.44,,7/8/04,11/21/11
B0034086,4G43-611B70-DCW,G,B,CNVZA,17.81,,7/10/04,11/21/11
B0034087,4G43-611B69-DCW,G,B,CNVZA,18.41,,7/10/04,11/21/11
B0034088,4G43-613K22-BC,G,B,CNVZA,5.51,,7/10/04,11/21/11
B0034089,4G43-611B70-BDW,G,B,CNVZA,17.81,,7/10/04,11/21/11
B0034090,4G43-611B69-BDW,G,B,CNVZA,18.41,,7/10/04,11/21/11
B0034092,4G43-613K21-BC,G,B,CNVZA,2.69,,7/10/04,11/21/11
B0034389,4G43-613K23-BC,G,B,CNVZA,2.69,,8/3/04,11/21/11
B0034454,4G43-C50202-AJ,G,B,D22CG,123.15,,8/9/04,9/15/10
B0035354,4G43-13A566-AA,G,B,V3NPA,0.97,,11/8/04,11/25/14
B0035682,4G43-C40738-AE,G,B,C8C9A,1.77,,12/13/04,8/16/15
B0035683,4G43-C40739-AE,G,B,C8C9A,1.77,,12/13/04,8/16/15
B0034497,F81U-11448-CA,G,B,AHRGA,0.5695,USD,8/11/04,6/21/12
B0034508,6G33--19835--CB,G,B,AGXRA,10.5486,EUR,8/12/04,11/21/11
B0034537,6G33--18A000--AB,G,B,R8Z5A,10.64,,8/17/04,11/21/11
B0034538,6G33--18A001--AB,G,B,R8Z5A,12.29,,8/17/04,11/21/11
B0034559,W700925-S309,G,B,R8S1A,0.0553,,8/18/04,11/21/11
B0034628,6G33--40380--AB,G,B,D22RC,6.208,,8/25/04,8/12/09
B0034629,6G33--40381--AB,G,B,D22RC,6.208,,8/25/04,8/12/09
B0034639,4G43-7Z309-AB,G,B,D1Z3A,8.83,,8/25/04,11/21/11
B0034650,W500102-S309,G,B,R8S1A,0.0153,,8/26/04,11/21/11
B0034657,4G43-47776-AA,G,B,D22RC,0.163,,8/27/04,3/10/10
B0034683,1R83-13418-BA,G,B,R8KAA,1.0113,,9/2/04,
B0034693,6G33--7A245--AA,G,B,LBEXA,1.6,,9/3/04,1/2/13
B0034815,4N51-43494-AB,G,B,D0RYB,0.6234,EUR,9/15/04,8/13/15
B0034818,3M51-R46420-AA,G,B,D0RYB,0.0637,EUR,9/15/04,8/20/15
B0035093,6G33--9K617--AC,G,B,P108A,4.2227,EUR,10/18/04,4/4/11
B0035110,4G43-7A245-AA,G,B,LBEXA,0.88,,10/19/04,1/2/13
B0035289,2W93-9C435-BC,G,B,K743D,0.048,,11/2/04,5/25/10
B0035302,4G43-L03056-AE,G,B,D22CG,64.77,,11/3/04,11/21/11
B0035353,4G43-13A565-AA,G,B,V3NPA,0.97,,11/8/04,11/25/14
B0035111,4G43-7A245-BA,G,B,LBEXA,0.86,,10/19/04,1/2/13
B0035329,8625471,G,B,C8P5H,3.6072,EUR,11/5/04,1/13/10
B0035330,4G43-53922-AB,G,B,C8P5H,10.422,EUR,11/5/04,1/13/10
B0035331,4G43-53923-AA,G,B,C8P5H,2.2745,EUR,11/5/04,1/13/10
B0035332,4G43-239600-AA,G,B,C8P5H,1.2972,EUR,11/5/04,1/13/10
B0035350,4G43-13364-CB,G,B,U9CJA,3.18,,11/8/04,12/3/13
B0035469,4G43-L53296-AA,G,B,C7N0A,2.6,,11/18/04,
B0035470,4G43-L53297-AA,G,B,C7N0A,2.6,,11/18/04,
B0035507,4G43-7A245-CA,G,B,LBEXA,1.58,,11/23/04,
B0035742,4G43-8N301-AB,G,B,D22RC,0.532,,12/15/04,3/10/10
B0035743,4G43-F8B171-AA,G,B,D22RC,0.289,,12/15/04,3/10/10
B0035744,4G43-19A070-DB,G,B,D22RC,1.488,,12/15/04,3/10/10
B0035745,4G43-403D62-AA,G,B,D22RC,0.289,,12/15/04,3/10/10
B0035746,4G43-8C477-AB,G,B,D22RC,0.672,,12/15/04,3/10/10
B0037545,6G33--19A321--BA,G,B,MQKCA,26.18,,4/21/05,2/7/11
B0037546,6G33--19A321--CA,G,B,MQKCA,26.18,,4/21/05,2/7/11
B0037547,6G33--19A321--DA,G,B,MQKCA,26.18,,4/21/05,2/7/11
B0035747,4G43-C47775-AA,G,B,D22RC,0.065,,12/15/04,3/10/10
B0035748,4G43-C47775-BA,G,B,D22RC,0.05,,12/15/04,3/10/10
B0035749,4G43-C8585-BA,G,B,D22RC,0.278,,12/15/04,3/10/10
B0035750,4G43-13407-AA,G,B,D22RC,0.244,,12/15/04,3/10/10
B0035751,4G43-8703-AA,G,B,D22RC,0.831,,12/15/04,3/10/10
B0035784,4G43-40383-AC,G,B,DCYBA,4.91,,12/21/04,1/16/12
B0035785,4G43-40384-AC,G,B,DCYBA,4.91,,12/21/04,1/16/12
B0035787,4G43-202W12-AC,G,B,DCYBA,2.52,,12/21/04,1/16/12
B0035944,4G4E-9E498-HB,G,B,M128T,33.0068,USD,1/7/05,6/13/11
B0035948,6G33--042B85--AA,G,B,CNURB,106.5463,EUR,1/7/05,11/21/11
B0036005,4G43-13K031-AC,G,B,V05EA,28.2975,USD,1/11/05,12/10/13
B0036037,4G43-5435-AC,G,B,U9CJA,0.176,,1/13/05,11/21/11
B0036240,DAC4027/4,G,B,R8LCA,0.072,,1/25/05,3/10/10
B0036319,6G33--14N089--BA,G,B,R89DB,1.3754,EUR,1/31/05,9/8/10
B0036366,6G33--19D719--AB,G,B,AGXRA,12.5596,EUR,2/2/05,11/21/11
B0036380,4G43-27746-AB,G,B,D1Z3A,0.71,,2/2/05,9/1/11
B0036526,4G43-46660-AA,G,B,D22RC,0.125,,2/10/05,3/10/10
B0036527,6G33--6L654--AA,G,B,D22RC,0.1023,,2/10/05,3/10/10
B0036528,6G33--6L654--BA,G,B,D22RC,0.3361,,2/10/05,3/10/10
B0036529,6G33--8N301--AA,G,B,D22RC,0.656,,2/10/05,3/10/10
B0036416,6G33--9N778--AC,G,B,C62FA,45.1615,EUR,2/4/05,11/26/10
B0036420,6G33--6617--AC,G,B,C62FA,57.7926,EUR,2/4/05,11/26/10
B0036530,6G33--F8B171--AA,G,B,D22RC,0.643,,2/10/05,3/10/10
B0036536,6G33--16E146--BD,G,B,U9CJA,2.69,,2/11/05,12/7/13
B0036604,98AG-15K040-AD,G,B,T43NA,0.4078,EUR,2/15/05,7/14/10
B0036605,6G33--16800--AA,G,B,C8Q8A,4.2547,EUR,2/15/05,4/13/10
B0036606,6G33--16801--AA,G,B,C8Q8A,4.2547,EUR,2/15/05,4/13/10
B0036643,6G33--14B268--AA,G,B,AYSPA,5.2808,EUR,2/17/05,7/15/10
B0036648,4G43-32366-AA,G,B,D22RC,0.868,,2/18/05,3/10/10
B0036685,W520411-S437,G,B,R8S1A,0.0141,,2/22/05,11/24/10
B0036699,6G33--9D477--BE,G,B,AHRLA,10.0109,USD,2/22/05,11/21/11
B0036704,2W93-40180-AG,G,B,C60AA,2.3663,EUR,2/23/05,12/3/09
B0036705,1X43-15K870-AA,G,B,D25KE,0.255,EUR,2/23/05,8/16/15
B0036729,30649608,G,B,AA8SA,2.6897,,2/28/05,
B0036731,30649609,G,B,AA8SA,2.6897,,2/28/05,
B0036816,4G43-9C071-BA,G,B,D0DVA,4.8694,EUR,3/3/05,6/17/11
B0036833,4G43-5E212-AB,G,B,D22CG,27.31,,3/4/05,11/21/11
B0037014,4G43-7K327-AC,G,B,C86HA,41.1678,EUR,3/14/05,12/22/11
B0037104,4G43-L25324-BA,G,B,DTPEA,0.2044,,3/17/05,
B0037163,6G33--102B00--AA,G,B,D1Z3A,7.92,,3/22/05,11/21/11
B0037164,6G33--102B00--BA,G,B,D1Z3A,7.92,,3/22/05,11/21/11
B0037179,4G43-19A390-AA,G,B,EJ5NA,30.295,AUD,3/23/05,11/21/11
B0037187,6G33--22614--AA,G,B,CZ2ZA,69.375,,3/23/05,11/21/11
B0037188,6G33--22615--AA,G,B,CZ2ZA,69.375,,3/23/05,11/21/11
B0037319,6G33--B2281--AA,G,B,R8S1A,0.0685,,4/6/05,11/30/10
B0037326,4G43-3N997-AC,G,B,D06PG,3.16,,4/7/05,11/27/09
B0037360,4G43-19A705-BC,G,B,AGXRA,8.4755,EUR,4/12/05,11/21/11
B0037361,4G43-19A705-CD,G,B,AGXRA,9.4255,EUR,4/12/05,11/21/11
B0037363,4G43-19835-BC,G,B,AGXRA,8.2723,EUR,4/12/05,11/21/11
B0037377,6G33--7Z390--BA,G,B,C86HA,100.8612,EUR,4/13/05,11/21/11
B0037385,4G43-015A22-AB,G,B,D1Z3A,3.74,,4/13/05,10/24/11
B0037389,4G43-021A58-AB,G,B,D1Z3A,1.92,,4/13/05,11/21/11
B0037395,6G33--115723--AA,G,B,U9CJA,0.1335,,4/13/05,12/7/13
B0037407,6G33--C27746--AB,G,B,D1Z3A,3.44,,4/13/05,11/21/11
B0037408,6G33--C27747--AB,G,B,D1Z3A,3.44,,4/13/05,11/21/11
B0037412,6G33--2C405--AB,G,B,A426G,202.6612,EUR,4/14/05,11/21/11
B0037532,6G33--1A096--AA,G,B,BDD0A,1.956,EUR,4/21/05,12/16/13
B0037544,6G33--19A321--AA,G,B,MQKCA,26.18,,4/21/05,2/7/11
B0037554,6G33--19A321--KA,G,B,MQKCA,26.18,,4/21/05,2/7/11
B0037629,4G43-11572-AC,G,B,U3NFA,6.4257,USD,4/26/05,11/21/11
B0037630,4G43-11572-BC,G,B,U3NFA,3.8901,USD,4/26/05,11/21/11
B0037670,6G33--16C774--AA,G,B,U9CJA,0.402,,4/29/05,12/7/13
B0037704,2R83-13A803-AB,G,B,B34SA,4.369,EUR,5/3/05,11/21/11
B0037705,4G43-7Z390-BA,G,B,C86HA,102.489,EUR,5/3/05,11/21/11
B0037759,4G43-9G803-AD,G,B,C8P5H,381.1558,EUR,5/4/05,11/21/11
B0037763,4G43-1660-AA,G,B,U9CJA,0.53,,5/5/05,12/10/13
B0037765,4G43-16740-AA,G,B,U9CJA,1.43,,5/5/05,11/21/11
B0037766,4G43-18K833-AA,G,B,U9CJA,0.2,,5/5/05,11/21/11
B0037767,4G43-4K228-AA,G,B,U9CJA,0.46,,5/5/05,12/7/13
B0037768,4G43-13037-AC,G,B,U9CJA,0.94,,5/5/05,11/21/11
B0037769,6G33--1660--AC,G,B,U9CJA,0.8,,5/5/05,12/7/13
B0037772,1R12-232726-AB,G,B,U9CJA,0.89,,5/5/05,11/21/11
B0037945,4G43-AWR4691-AA,G,B,R8S1A,0.325,,5/13/05,11/21/11
B0038401,83-18564,G,B,R8LCA,0.24,,6/2/05,1/21/10
B0038416,6G33--13N408--BC,G,B,V3NPA,9.6,,6/6/05,5/6/10
B0038438,6G33--611B71--BAW,G,B,CNVZA,23.19,,6/7/05,11/21/11
B0038184,6G33--6L689--AE  ,G,B,P108A,5.1876,EUR,5/19/05,4/4/11
B0038267,6G33--19972--AE,G,B,AGXRA,41.0507,EUR,5/25/05,11/21/11
B0038311,6G33--40180--AB,G,B,C60AA,3.5541,EUR,5/26/05,12/3/09
B0038409,6G33--9F472--AA,G,B,N578A,8.2296,USD,6/3/05,3/11/10
B0038439,6G33--611B68--BAW   ,G,B,CNVZA,24.16,,6/7/05,11/21/11
B0038441,6G33--611B70--ABW,G,B,CNVZA,23.19,,6/7/05,11/21/11
B0038442,6G33--611B71--AAW,G,B,CNVZA,23.19,,6/7/05,11/21/11
B0038443,6G33--611B68--AAW,G,B,CNVZA,24.16,,6/7/05,11/21/11
B0038481,4G43-9N070-AB,G,B,R80FA,0.25,,6/8/05,
B0038523,6G33--218060--AB,G,B,D1Z3A,0.48,,6/9/05,9/1/11
B0038536,6G33--12A522--AB,G,B,V2FEA,4.018,,6/10/05,
B0038557,6G33--C47775--AA    ,G,B,D22RC,0.062,,6/13/05,11/27/09
B0038589,6G33--A46402--AB,G,B,D1Z3A,0.73,,6/13/05,
B0038666,4G43-C28670-AJ,G,B,C8C9A,4.749,,6/16/05,11/21/11
B0038668,4G43-L28670-AF,G,B,C8C9A,4.749,,6/16/05,11/21/11
B0038676,4G43-L14501-AAW,G,B,BAHZB,15.712,,6/16/05,11/21/11
B0038677,4G43-L14502-AAW,G,B,BAHZB,15.712,,6/16/05,11/21/11
B0039349,6G33--611B69--BBW,G,B,CNVZA,24.16,,8/10/05,11/21/11
B0039350,6G33--611B70--BBW,G,B,CNVZA,23.19,,8/10/05,11/21/11
B0038715,6G33--7Z309--AB,G,B,D1Z3A,8.83,,6/17/05,11/21/11
B0038725,4G43-27747-AB,G,B,D1Z3A,0.71,,6/20/05,9/1/11
B0038746,3M51-R404B12-AD    ,G,B,D0RYB,1.133,EUR,6/21/05,3/24/15
B0038782,4G43-7K177-CB,G,B,BX3PA,49.4,,6/28/05,11/21/11
B0038796,4G43-002K06-AC,G,B,D1Z3A,2.75,,6/28/05,10/24/11
B0038797,4G43-002K05-AC,G,B,D1Z3A,3.25,,6/28/05,10/24/11
B0038798,4G43-021A59-AC,G,B,D1Z3A,1.92,,6/28/05,11/21/11
B0038799,4G43-015A23-AC,G,B,D1Z3A,3.25,,6/28/05,11/21/11
B0038812,   6G33--20566--BC,G,B,P415X,2.97,,6/29/05,11/21/11
B0038813,6G33--20567--BC,G,B,P415X,2.97,,6/29/05,11/21/11
B0038828,6G33--438A26--AB,G,B,U9CJA,0.864,,6/30/05,12/7/13
B0038829,6G33--454A28--AB,G,B,U9CJA,1.47,,6/30/05,12/7/13
B0038842,4G43-5E209-BF,G,B,D22CG,51.27,,7/2/05,11/21/11
B0038874,6G33--C50202--AH,G,B,D22CG,39.945,,7/4/05,8/16/15
B0038956,4G43-14605-BA,G,B,R8S1A,0.167,,7/11/05,11/30/10
