PURCH_ORDER,PART_NO,AREA,ORDER_TYPE,SUPPLIER,COST,CURRENCY,RAISED_DATE,CLOSED_DATE
B0084702,CD33-638A35-AB,G,B,AXE7A,4.88,,7/24/12,1/7/14
B0084703,CD33-042B85-BAW,G,B,CNURB,166.1394,EUR,7/24/12,3/15/13
B0084787,AD43-F47124-AA,G,B,V1436,31.0308,EUR,7/25/12,8/16/15
B0084788,AD43-F45108-AA,G,B,V1436,183.3652,EUR,7/25/12,8/16/15
B0084789,AD43-F279A54-AA,G,B,V1436,20.4605,EUR,7/25/12,8/16/15
B0084704,BG33-C41033-AB,G,B,V1436,63.9762,EUR,7/24/12,7/8/14
B0084706,CD33-E804537-AB,G,B,U9CJA,0.845,,7/24/12,12/7/13
B0084707,CD33-E804159-AB,G,B,U9CJA,0.845,,7/24/12,12/7/13
B0084708,CD33-5230-BE,G,B,CJCGA,276.85,,7/24/12,5/21/13
B0084709,CD33-14853-AB,G,B,DF7MA,88.809,,7/24/12,8/16/15
B0084711,CD33-14853-CA,G,B,DF7MA,108.604,,7/24/12,8/16/15
B0084713,DD33-F27863-AA,G,B,D0CWA,10.27,,7/24/12,10/22/14
B0084714,DD33-425A82-AA,G,B,D0CWA,7.36,,7/24/12,10/22/14
B0084715,CD33-17B049-AA,G,B,D0CWA,3.29,,7/24/12,10/22/14
B0084716,DD43-51916-AAW,G,B,EMKHA,105.72,,7/25/12,10/6/14
B0084717,DD33-03531-AA,G,B,U9B6A,16.89,,7/25/12,8/16/15
B0084718,DD33-03532-AA,G,B,U9B6A,16.89,,7/25/12,8/16/15
B0084719,CD33-17B048-AA,G,B,D0CWA,3.29,,7/25/12,10/22/14
B0084720,4G43-40110-AL,G,B,V1436,247.6301,EUR,7/25/12,8/16/15
B0084721,DD33-F27862-AA,G,B,D0CWA,10.27,,7/25/12,10/22/14
B0084722,8G43-40110-BC,G,B,V1436,248.4803,EUR,7/25/12,8/16/15
B0084726,CD33-239673-AA,G,B,R8S1A,0.296,,7/25/12,8/20/12
B0084727,DD33-L454A21-AA,G,B,D0CWA,1.49,,7/25/12,8/16/15
B0084736,CD33-40381-AC,G,B,V0388,3.351,EUR,7/25/12,8/16/15
B0084723,8G43-C45108-AC,G,B,V1436,190.0531,EUR,7/25/12,8/16/15
B0084724,4G43-C20413-AR,G,B,V1436,145.4197,EUR,7/25/12,8/16/15
B0084725,4G43-C41033-AM,G,B,V1436,52.1289,EUR,7/25/12,8/16/15
B0084728,4G43-C20412-AR,G,B,V1436,144.1941,EUR,7/25/12,8/16/15
B0084729,7G43-C41038-AC,G,B,V1436,24.2366,EUR,7/25/12,8/16/15
B0084733,CG43-5E209-AC,G,B,V1436,58.8026,EUR,7/25/12,8/16/15
B0084734,4G43-L40110-AK,G,B,V1436,265.8377,EUR,7/25/12,8/16/15
B0084735,8G43-L40110-BD,G,B,V1436,262.012,EUR,7/25/12,8/16/15
B0084737,CD33-40380-AC,G,B,V0388,3.351,EUR,7/25/12,8/16/15
B0084741,9G43-L41033-AE,G,B,V1436,47.3751,EUR,7/25/12,8/16/15
B0084743,9G43-L41038-AE,G,B,V1436,28.9975,EUR,7/25/12,8/16/15
